model,KKThPINN
model_id,best50_ca0p0_cb10p2_cb20p0_cc0p8
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,4
z0_inner_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,train_experiment
runs,50
run,27
weighted_cb_loss,False
cb_loss_segments,10
cb_loss_min,0.0
cb_loss_max,1.0
z4_neg_penalty,False
z4_margin_penalty,False
beta_z4,0.0
z4_margin,0.0
z4_activation,raw
kkt_warmup_epochs,0
ca_weight,0.0
cb1_weight,0.2
cb2_weight,0.0
cc_weight,0.8
lambda_cb_consistency,0.0
cao_regions_for_worst,90
loss_type,MSE
rmse_total,0.00180294654686595
rmse_inner,0.00180294654686595
violation,0.000521811731745037
cb1_cb2_l2,0.0017558650896378877
violation_g1,4.0500816985858784e-12
violation_g2,0.0010436234594399926
violation_max_any_constraint,0.005833136660547078
violation_max_sample_mean,0.002916568331661429
violation_g1_max,6.856959444689892e-12
violation_g2_max,0.005833136660547078
worst_region_violation,0.002916568331661429
worst_region_id,89
