model,KKThPINN
model_id,cbpen_lam100p0_ca0p0_cb10p2_cb20p0_cc0p8
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,4
z0_inner_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,train_experiment
runs,3
run,0
weighted_cb_loss,False
cb_loss_segments,10
cb_loss_min,0.0
cb_loss_max,1.0
z4_neg_penalty,False
z4_margin_penalty,False
beta_z4,0.0
z4_margin,0.0
z4_activation,raw
kkt_warmup_epochs,0
ca_weight,0.0
cb1_weight,0.2
cb2_weight,0.0
cc_weight,0.8
lambda_cb_consistency,100.0
loss_type,MSE
rmse_total,0.04137454404249972
rmse_inner,0.04137454404249972
violation,0.0004226276485617289
cb1_cb2_l2,0.0009970779122345827
violation_g1,4.06280069111174e-12
violation_g2,0.0008452552930606572
