model,NN
model_id,NN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,27
seed,27
loss_type,MSE
rmse_total,0.07991705266897135
violation,70.35055907735516
violation_original_nonlinear,71.30404572037618
violation_rxn,142.60124263067888
violation_mb,0.006848810073500431
prediction_time_sec,0.00036145979538559914
