region_id,constraint_order,constraint_name,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,0,reaction_linearized,-0.01003307239880665,1.0,-1.09639280668188,-0.09639280668187993,0.01532432672870572,-3.2115227670546913
0,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
1,0,reaction_linearized,-0.05505561672304325,1.0,-4.358164420971287,-3.358164420971286,0.9425943200064778,-22.709455164490887
1,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
2,0,reaction_linearized,-0.3039262422373379,1.0,-102.92553647397322,-70.85407921160541,22.545747983490983,-189.01909637509212
2,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
3,0,reaction_linearized,-0.3220841379869648,1.0,-90.74091169060533,-80.02252661672186,22.545747983490983,-200.31193183872855
3,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
4,0,reaction_linearized,-0.3377974999812743,1.0,-80.82249118718498,-88.98810391946773,22.545747983490983,-210.08445251122677
4,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
5,0,reaction_linearized,-0.35147059736644204,1.0,-72.66437099673824,-97.71821245082492,22.545747983490983,-218.58808317295438
5,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
6,0,reaction_linearized,-1.6757852302148706,1.0,-836.7505415640709,-526.4364111680171,157.06417037850943,-1212.1446952860813
6,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
7,0,reaction_linearized,-1.7298638425785544,1.0,-777.6954869136363,-563.7056984939205,157.06417037850943,-1251.2613445578195
7,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
8,0,reaction_linearized,-1.7798098585301627,1.0,-725.075219286096,-600.6862080926993,157.06417037850943,-1287.3887654198888
8,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
9,0,reaction_linearized,-1.8259814040631461,1.0,-678.0731308520755,-637.3007878005382,157.06417037850943,-1320.7860009258925
9,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
10,0,reaction_linearized,-1.8687169729764985,1.0,-635.9742896721466,-673.4903144507216,157.06417037850943,-1351.6978935863328
10,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
11,0,reaction_linearized,-1.908331476847433,1.0,-598.1567467394893,-709.21112065057,157.06417037850943,-1380.3522281978069
11,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
12,0,reaction_linearized,-1.9625274976873168,1.0,-548.2997916286005,-761.8491789880511,157.06417037850943,-1419.553802470099
12,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
13,0,reaction_linearized,-3.70144879427583,1.0,-2095.140575422782,-1300.0421647402902,371.04638726198834,-2840.1374695163613
13,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
14,0,reaction_linearized,-3.8203945418887564,1.0,-1941.0374809661164,-1394.0930558745908,371.04638726198834,-2931.4050497021367
14,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
15,0,reaction_linearized,-3.9299768656087366,1.0,-1804.2770889305332,-1487.4671031043383,371.04638726198834,-3015.488034741693
15,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
16,0,reaction_linearized,-4.031020861318609,1.0,-1682.6018201777256,-1579.9453664383484,371.04638726198834,-3093.0195242300993
16,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
17,0,reaction_linearized,-4.124308474078596,1.0,-1574.0394582744614,-1671.3597547178665,371.04638726198834,-3164.599507951909
17,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
18,0,reaction_linearized,-4.210567721906038,1.0,-1476.8794330419719,-1761.5858969304002,371.04638726198834,-3230.786597241342
18,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
19,0,reaction_linearized,-4.290467499901801,1.0,-1389.6454553642773,-1850.5359915141764,371.04638726198834,-3292.0940381663004
19,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
20,0,reaction_linearized,-4.364616401035363,1.0,-1311.0674162103765,-1938.1521441533916,371.04638726198834,-3348.9888067116763
20,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
21,0,reaction_linearized,-6.032712057414244,1.0,-3796.708993864547,-2245.7450938383786,635.217449319886,-4803.466779717781
21,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
22,0,reaction_linearized,-6.1343987006913,1.0,-3647.4878169581098,-2329.8552128075353,635.217449319886,-4884.433417653399
22,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
23,0,reaction_linearized,-6.27915136246056,1.0,-3440.2305139883674,-2455.639590710406,635.217449319886,-4999.69080031427
23,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
24,0,reaction_linearized,-6.458573528491776,1.0,-3191.749217262151,-2622.3133729720766,635.217449319886,-5142.553314863877
24,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
25,0,reaction_linearized,-6.623747752173166,1.0,-2971.2355230353483,-2787.4215827829553,635.217449319886,-5274.071094722791
25,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
26,0,reaction_linearized,-6.775996003987856,1.0,-2774.9710293374596,-2950.641849792921,635.217449319886,-5395.296741314556
26,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
27,0,reaction_linearized,-6.916549719826861,1.0,-2599.7367877349407,-3111.7354909046658,635.217449319886,-5507.210769097263
27,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
28,0,reaction_linearized,-7.046539897206749,1.0,-2442.7611028259803,-3270.5338379535488,635.217449319886,-5610.713719808556
28,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
29,0,reaction_linearized,-7.166994536740809,1.0,-2301.6654694277754,-3426.9254237897458,635.217449319886,-5706.624125270997
29,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
