model,KKThPINN
model_id,KKThPINN_relu
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,4
z0_inner_dim,2
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,32
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,train_experiment
runs,10
run,8
weighted_cb_loss,False
cb_loss_segments,10
cb_loss_min,0.0
cb_loss_max,1.0
z4_neg_penalty,False
z4_margin_penalty,False
beta_z4,0.0
z4_margin,0.0
z4_activation,relu
loss_type,MSE
rmse_total,0.032832595728554244
rmse_inner,0.032832595728554244
violation,0.0017365418607369065
