region_id,T_low,T_high,C_low,C_high,T_center,C_center,h_T,h_C,depth,M_TT,M_TC,M_CC,estimated_cell_taylor_bound
0,280.0,325.0,0.8,1.2,302.5,1.0,45.0,0.3999999999999999,2,0.0009612305248088732,0.017471412045148998,0.6262606858635075,0.3679038489639554
1,325.0,370.0,0.8,1.2,347.5,1.0,45.0,0.3999999999999999,2,0.003550868562996569,0.05711592385408557,31.624173169990698,1.967150598326876
2,370.0,392.5,0.8,0.9,381.25,0.8500000000000001,22.5,0.09999999999999998,5,0.00400738893471034,0.17212694102000353,157.70977790370372,0.6023063285008223
3,370.0,415.0,0.9,1.0,392.5,0.95,45.0,0.09999999999999998,4,0.00820371168473644,0.3883094067235725,605.0670677348453,3.5967210811746355
4,370.0,415.0,1.0,1.1,392.5,1.05,45.0,0.10000000000000009,4,0.00861587979755274,0.22962661586717512,514.048004560528,3.389962974537448
5,370.0,415.0,1.1,1.2,392.5,1.15,45.0,0.09999999999999987,4,0.009012204125709591,0.10832043311227697,436.3186300478157,3.243320238544453
6,392.5,415.0,0.8,0.9,403.75,0.8500000000000001,22.5,0.09999999999999998,5,0.007783149681175593,0.5901482342754721,707.6791765401509,1.8799932725387376
7,415.0,437.5,0.8,0.8500000000000001,426.25,0.8250000000000001,22.5,0.050000000000000044,6,0.017763868894506266,1.7893480321910795,2566.4383885640095,2.672324554856518
8,415.0,437.5,0.8500000000000001,0.9,426.25,0.875,22.5,0.04999999999999993,6,0.018234741865106367,1.4497849850657312,2371.3187997150644,2.53297705167315
9,415.0,437.5,0.9,0.95,426.25,0.925,22.5,0.04999999999999993,6,0.018713010721606582,1.1481932559737098,2184.430311790904,2.408721188944321
10,415.0,437.5,0.95,1.0,426.25,0.975,22.5,0.050000000000000044,6,0.01919511403726,0.8815953519010256,2008.3166829494337,2.2992623129456446
11,415.0,437.5,1.0,1.05,426.25,1.025,22.5,0.050000000000000044,6,0.019677246774157393,0.6483164571889395,1844.3982401129579,2.204305648651521
12,415.0,437.5,1.05,1.1,426.25,1.0750000000000002,22.5,0.050000000000000044,6,0.02015582072662641,0.4458303893273835,1693.2436832689514,2.123015376214373
13,415.0,437.5,1.1,1.2,426.25,1.15,22.5,0.09999999999999987,5,0.021090363684193203,0.27118872860877885,1554.8126136052447,3.773752404113274
14,437.5,448.75,0.8,0.8500000000000001,443.125,0.8250000000000001,11.25,0.050000000000000044,7,0.02758850804925383,3.0069581472979436,4660.31357291173,2.547226329721318
15,437.5,448.75,0.8500000000000001,0.9,443.125,0.875,11.25,0.04999999999999993,7,0.028305404653392676,2.4242498690768284,4302.170595733574,2.346452675667423
16,437.5,448.75,0.9,0.95,443.125,0.925,11.25,0.04999999999999993,7,0.029037119342354412,1.9073011271515912,3958.435851891957,2.1610618994995434
17,437.5,448.75,0.95,1.0,443.125,0.975,11.25,0.050000000000000044,7,0.029777463854239294,1.4512300392839412,3634.2514763806375,1.9919587537022534
18,437.5,448.75,1.0,1.05,443.125,1.025,11.25,0.050000000000000044,7,0.03051985054576244,1.0532122870430367,3332.5351498750306,1.839594663817497
19,437.5,448.75,1.05,1.1,443.125,1.0750000000000002,11.25,0.050000000000000044,7,0.031258090812890285,0.7088296499938804,3054.5086938478184,1.7035984912882518
20,437.5,448.75,1.1,1.15,443.125,1.125,11.25,0.04999999999999982,7,0.03198681909314968,0.41287168193199913,2800.17939319137,1.5830733760364364
21,437.5,448.75,1.15,1.2,443.125,1.1749999999999998,11.25,0.050000000000000044,7,0.03270165926715122,0.15989944611495857,2568.7419190421656,1.4768249960039923
22,448.75,460.0,0.8,0.8250000000000001,454.375,0.8125,11.25,0.025000000000000022,8,0.04358815733124147,5.155824068433065,8647.07862563239,1.9004151844905017
23,448.75,460.0,0.8250000000000001,0.8500000000000001,454.375,0.8375000000000001,11.25,0.025000000000000022,8,0.04413784226034184,4.628316116639671,8308.865314684828,1.8401163410248245
24,448.75,460.0,0.8500000000000001,0.875,454.375,0.8625,11.25,0.02499999999999991,8,0.044696516215099534,4.135509929706474,7975.302048306614,1.78305750550469
25,448.75,460.0,0.875,0.9,454.375,0.8875,11.25,0.025000000000000022,8,0.04526331150235704,3.669791257343501,7648.217152623599,1.7287917851410997
26,448.75,460.0,0.9,0.925,454.375,0.9125000000000001,11.25,0.025000000000000022,8,0.04583708818261937,3.231359961929361,7329.086889904637,1.6774416667096603
27,448.75,460.0,0.925,0.95,454.375,0.9375,11.25,0.02499999999999991,8,0.04641652874793356,2.820030994357778,7019.073952025848,1.6290698289253727
28,448.75,460.0,0.95,1.0,454.375,0.975,11.25,0.050000000000000044,7,0.04758670037862599,2.4353068118975383,6719.059040357127,3.5145081855052727
29,448.75,460.0,1.0,1.05,454.375,1.025,11.25,0.050000000000000044,7,0.048762353324371725,1.7425114953370588,6151.335733535813,3.2326456399475636
30,448.75,460.0,1.05,1.1,454.375,1.0750000000000002,11.25,0.050000000000000044,7,0.04993274754482884,1.1450853748400422,5628.576769732484,2.980900495673194
31,448.75,460.0,1.1,1.15,454.375,1.125,11.25,0.04999999999999982,7,0.051088615860546735,0.6336217536575383,5150.9625989222,2.7577184133153305
32,448.75,460.0,1.15,1.2,454.375,1.1749999999999998,11.25,0.050000000000000044,7,0.0522224433699598,0.1982714456344071,4717.016050048911,2.5609372924398377
