model,KKThPINN
model_id,KKThPINN_n150_seg30_2constraints
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
runs,1
run,13
loss_type,MSE
rmse_total,0.006665735059850305
violation,0.00011434699904650528
violation_rxn,0.00022869399809270178
violation_mb,3.0878077872387166e-16
