model,ECNN
model_id,MODELID
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,32
dataset_type,cstr
dataset_path,C:\Users\Fateme\Desktop\Research\CSTR\makeup\data.csv
val_ratio,0.2
job,experiment
runs,10
loss_type,MSE
run,0
rmse_total,0.08322048969543175
rmse_unconstrained,0.03377941315235795
rmse_constrained,0.010827674283412487
violation,615.4140014648438
