model,PINN
model_id,PINN_rxn0p020000000000000004_mb0p010000000000000002
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
mu_rxn,0.020000000000000004
mu_mb,0.010000000000000002
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
runs,1
run,1
loss_type,PINN
rmse_total,0.0033776703735849197
violation,0.009502165460913346
violation_rxn,0.01554325043550795
violation_mb,0.0034610804863187423
