model,PINN
model_id,PINN2D_rxn0p01_mb0
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.01
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,val
runs,1
run,2
seed,2
loss_type,PINN
rmse_total,0.5196598987244826
violation,65.79404877269853
violation_original_nonlinear,1.7366868437500993
violation_rxn,1.1890932854736356
violation_mb,2.284280402026563
prediction_time_sec,0.00035341596230864525
