model,PINN
model_id,PINN2D_rxn3em07_mb0
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,3e-07
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,val
runs,1
run,0
seed,0
loss_type,PINN
rmse_total,0.10649523656093161
violation,9.282277941510799
violation_original_nonlinear,9.42268640416411
violation_rxn,18.732239679090988
violation_mb,0.11313312923723479
prediction_time_sec,0.0003775297664105892
