model,PINN
model_id,PINN2D_rxn0p01_mb0p01
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.01
mu_mb,0.01
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,val
runs,1
run,0
seed,0
loss_type,PINN
rmse_total,0.448437332911156
violation,46.00595421539418
violation_original_nonlinear,1.6132912414076974
violation_rxn,1.2796254395718132
violation_mb,1.9469570432435817
prediction_time_sec,0.00035573309287428856
