model,PINN
model_id,PINN2D_selected
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,3e-06
mu_mb,0.001
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,45
seed,45
loss_type,PINN
rmse_total,0.10659845418127979
violation,7.710030761415593
violation_original_nonlinear,7.611538141677949
violation_rxn,15.060691530895022
violation_mb,0.16238475246087716
prediction_time_sec,0.00036719581112265587
