model,PINN
model_id,PINN2D_selected
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,3e-06
mu_mb,0.001
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,27
seed,27
loss_type,PINN
rmse_total,0.08035644435440184
violation,8.03580874103559
violation_original_nonlinear,10.184071634947014
violation_rxn,20.296300390037022
violation_mb,0.07184287985700555
prediction_time_sec,0.0003727860748767853
