model,PINN
model_id,PINN2D_rxn0_mb0p05
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.05
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,val
runs,1
run,2
seed,2
loss_type,PINN
rmse_total,0.09000340566992876
violation,23.896775766938486
violation_original_nonlinear,20.521574954222782
violation_rxn,41.02782361988665
violation_mb,0.015326288558919638
prediction_time_sec,0.00039291754364967346
