model,KKThPINN
model_id,KKThPINN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,9
seed,9
loss_type,MSE
rmse_total,0.033147049518030366
violation,4.192398062694819e-14
violation_original_nonlinear,1.074167615241547
violation_rxn,2.1483352304830934
violation_mb,5.028657229184532e-16
prediction_time_sec,0.0027616419829428196
